************
Unfreezing dense_27
****************
p:0.1806021991981263	 r:0.12558622521901672	 f1(macro):0.11426187286477764	 acc:0.5449101796407185
p:0.16911344610875126	 r:0.13420912916977867	 f1(macro):0.11957051824948037	 acc:0.5673652694610778
p:0.2582559339525284	 r:0.13873699301577486	 f1(macro):0.12434421627857864	 acc:0.5793413173652695
p:0.35872198895360213	 r:0.1414429074863952	 f1(macro):0.12882194316975776	 acc:0.5793413173652695
p:0.3062134606596385	 r:0.1408487304216299	 f1(macro):0.12891701626313395	 acc:0.5763473053892215
************
Unfreezing leaky_re_lu_41
****************
p:0.24528693172612684	 r:0.14419462913879189	 f1(macro):0.13179458254571708	 acc:0.5778443113772455
p:0.27334125222313094	 r:0.15049772367718056	 f1(macro):0.1426573846128831	 acc:0.5823353293413174
p:0.28195679981394267	 r:0.15079481220956317	 f1(macro):0.14415160237811966	 acc:0.5838323353293413
p:0.37216324604859635	 r:0.1598960018965213	 f1(macro):0.158808269144186	 acc:0.5853293413173652
p:0.36109643716616774	 r:0.16090920263612424	 f1(macro):0.1605579479630278	 acc:0.5883233532934131
p:0.431794596528896	 r:0.17947500347488005	 f1(macro):0.19230849587512472	 acc:0.5883233532934131
p:0.4227593394260061	 r:0.18370532303789006	 f1(macro):0.19598646188154184	 acc:0.5883233532934131
p:0.4119537876804177	 r:0.18702503732596842	 f1(macro):0.19986573086236636	 acc:0.5883233532934131
p:0.5292368674037621	 r:0.21021354390002728	 f1(macro):0.23984514212192756	 acc:0.5973053892215568
p:0.5372981173976199	 r:0.21381072396779555	 f1(macro):0.24411893472538304	 acc:0.6017964071856288
p:0.5420966298159281	 r:0.2257237415389754	 f1(macro):0.25746507574464567	 acc:0.6062874251497006
p:0.570855303155597	 r:0.24778982290162865	 f1(macro):0.2848988116911121	 acc:0.6092814371257484
p:0.552017969168926	 r:0.25820130186057233	 f1(macro):0.2929617382611194	 acc:0.6152694610778443
p:0.5091479553914497	 r:0.2599897230719087	 f1(macro):0.29644094430105655	 acc:0.6152694610778443
p:0.4911708117590471	 r:0.2671011104954667	 f1(macro):0.2968551222055895	 acc:0.6182634730538922
p:0.514188223490549	 r:0.26539191928499223	 f1(macro):0.302138124787741	 acc:0.6152694610778443
p:0.49452349486249225	 r:0.27619623748968997	 f1(macro):0.3084254981723801	 acc:0.6197604790419161
p:0.5063839645668767	 r:0.27286996152522064	 f1(macro):0.30931052458329866	 acc:0.6152694610778443
p:0.5069902079063121	 r:0.28130134517039074	 f1(macro):0.315961882020845	 acc:0.6182634730538922
p:0.5089605064187315	 r:0.2839352247970987	 f1(macro):0.318304609672703	 acc:0.624251497005988
p:0.5114239184180801	 r:0.2853376947470334	 f1(macro):0.3201505290537028	 acc:0.625748502994012
